0,1,2,3,4,5,6,7,8,9
Adventure,Animation,Children,Comedy,Fantasy,,,,,
Adventure,Children,Fantasy,,,,,,,
Comedy,Romance,,,,,,,,
Comedy,Drama,Romance,,,,,,,
Comedy,,,,,,,,,
Action,Crime,Thriller,,,,,,,
Comedy,Romance,,,,,,,,
Adventure,Children,,,,,,,,
Action,,,,,,,,,
Action,Adventure,Thriller,,,,,,,
Comedy,Drama,Romance,,,,,,,
Comedy,Horror,,,,,,,,
Adventure,Animation,Children,,,,,,,
Drama,,,,,,,,,
Action,Adventure,Romance,,,,,,,
Crime,Drama,,,,,,,,
Drama,Romance,,,,,,,,
Comedy,,,,,,,,,
Comedy,,,,,,,,,
Action,Comedy,Crime,Drama,Thriller,,,,,
Comedy,Crime,Thriller,,,,,,,
Crime,Drama,Horror,Mystery,Thriller,,,,,
Action,Crime,Thriller,,,,,,,
Drama,Sci-Fi,,,,,,,,
Drama,Romance,,,,,,,,
Drama,,,,,,,,,
Children,Drama,,,,,,,,
Drama,Romance,,,,,,,,
Adventure,Drama,Fantasy,Mystery,Sci-Fi,,,,,
Crime,Drama,,,,,,,,
Drama,,,,,,,,,
Mystery,Sci-Fi,Thriller,,,,,,,
Adventure,Romance,IMAX,,,,,,,
Children,Drama,,,,,,,,
Drama,Romance,,,,,,,,
Crime,Drama,,,,,,,,
Documentary,IMAX,,,,,,,,
Children,Comedy,,,,,,,,
Comedy,Romance,,,,,,,,
Drama,,,,,,,,,
Drama,War,,,,,,,,
Action,Crime,Drama,,,,,,,
Drama,,,,,,,,,
Action,Adventure,Fantasy,,,,,,,
Comedy,Drama,Thriller,,,,,,,
Drama,Romance,,,,,,,,
Mystery,Thriller,,,,,,,,
Animation,Children,Drama,Musical,Romance,,,,,
Drama,Romance,,,,,,,,
Crime,Mystery,Thriller,,,,,,,
Action,Drama,Thriller,,,,,,,
Comedy,Drama,Romance,,,,,,,
Adventure,Drama,,,,,,,,
Children,Comedy,,,,,,,,
Drama,,,,,,,,,
Adventure,Children,Fantasy,,,,,,,
Drama,,,,,,,,,
Comedy,Drama,Romance,,,,,,,
Drama,Mystery,,,,,,,,
Adventure,Children,Fantasy,,,,,,,
Drama,Thriller,,,,,,,,
Drama,,,,,,,,,
Comedy,Crime,,,,,,,,
Comedy,Romance,,,,,,,,
Comedy,,,,,,,,,
Action,Sci-Fi,Thriller,,,,,,,
Drama,,,,,,,,,
Comedy,Romance,,,,,,,,
Comedy,,,,,,,,,
Action,Comedy,Horror,Thriller,,,,,,
Action,,,,,,,,,
Comedy,Drama,,,,,,,,
Drama,War,,,,,,,,
Drama,Romance,,,,,,,,
Comedy,Drama,,,,,,,,
Action,Sci-Fi,Thriller,,,,,,,
Documentary,,,,,,,,,
Action,Crime,Drama,Thriller,,,,,,
