avg_scifi_rating,avg_comedy_rating
3.5,2.71
2.56,2.64
2,3.2
3.18,2.83
3,3.9
2.33,3.2
3,3.63
2.3,3.4
3.11,3.39
2.85,2.47
2.55,2.59
3,2.92
1.33,2.56
3.15,3.4
2.95,3.81
3.2,2.64
3.03,3.16
3.83,1.88
2,3.33
3.33,2.73
2.83,3.87
2.83,3.57
2.92,3.04
2.7,3.75
2.88,3.42
4.19,2.64
3.19,3.36
3,3.2
2.67,3
1,3.33
3.09,3.33
2.88,2.91
2.62,3.16
3,4.11
3.12,3.34
3,3.46
2.75,3.38
2.88,3.12
2.75,2.8
3,3.23
2.42,3.42
2.48,2.75
2.5,3.08
2.25,4.26
0.5,3.72
3.08,3.29
2.5,2.92
3.07,3.45
2.5,3.35
3,4.3
2.33,3.71
3.05,3.39
2.67,2.07
2.75,2.75
3,3.63
2.91,2.64
2.75,3.45
3.02,3.09
4.05,2.75
3.06,2.89
2.94,3.25
2,3.67
3.5,2.75
3.08,3.93
4.5,2.96
3,2.94
3.09,3.5
3,3.45
2.36,2.69
3.06,3.17
3,2.44
2.79,2.56
2.75,4.1
2.57,4.83
1.62,2.86
2.71,2.2
2.71,3.23
2.83,2.55
2.71,2.58
3,1.46
3.39,2.93
2.96,3.06
2.6,3.38
3.36,2.94
3.18,3.34
2.85,3.31
3.06,3.27
0.5,3.11
1.5,2.58
2.25,2.86
2.44,2.91
2.91,3.32
4,2.97
2.94,3.2
1.75,2.83
2.82,3.38
2.83,3.6
2.75,3.04
2.66,2.73
3.11,3.7
2.69,2.56
3.6,2.92
2.89,3.03
2.4,3.05
3.27,2.98
2,4
2.67,3.2
2,2.75
1.25,3.58
2.5,4.24
2.4,3
2.85,2.92
2.95,3.51
2.88,2.85
2.7,2.39
1.67,2.54
2.71,2.98
3.08,3
2.62,2.91
2.5,2.76
2.83,3.42
3,3.53
0.5,4.42
2.85,3.2
1.5,3.6
2.8,2.81
2.56,3.42
3.06,3.08
2.8,2.17
3.5,2.76
2.89,2.86
3.21,2.75
4.44,1.5
3.3,2.83
3.06,3.5
3,4.23
2.33,3.57
3.35,2.92
3.75,2.34
2.27,2.88
4.25,2.58
4,2.5
4,2.56
2.83,3.54
3.17,3.9
3,3.81
3.6,2.88
3.12,3.5
3.06,3.19
2.55,2.63
2.86,3.2
2.67,3.25
3.08,2.93
2.76,2.42
2.94,3.07
3.3,2.74
3,3.29
4.22,4.28
3.88,4
4.2,1
2.83,3.51
2.5,3.47
3.48,3.37
3.15,3.16
3.25,3.21
3,3.67
2,3.27
